FUELANNUAL	HSVAL	GOR_DV	YEAR	HHSIZE	HHTYPE_DV	HSBEDS	TENURE_DV	NEMP_DV	NKIDS_DV	NPENS_DV	NUE_DV	LKMOVE	XPMOVE	FIHHMNGRS_DV	FIYRDIC_DV	FINNOW	FINFUT	SAVE	JBSTAT	SF1	RACEL_DV	BIRTHY	SEX	NCARS	ENVHABIT1_A	ENVHABIT3_A	ENVHABIT4_A	ENVHABIT6_A	ENVHABIT8_A	FUELDUEL	HEATCH	HHEAT	AGE	REGION	LONDON	LAT	LONG	NSAMPLES	T.FUEL	T.HVAL	T.HHINCOME	T.HHSAV
880	18e4	5	2013	2	2 adults, not a couple, one or more over pensionable age, no children	3	Owned with mortgage	1	0	1	1	Wants to stay	Not expecting to move	2755.83	200	2	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1931	Female	1	5	1	5	1	1	One bill	Some form of central heating	Yes	82	West Midlands	Not London	52.48032955	-2.27086611	206	0.8866351846601602	0.9118588562794454	0.7844075043716712	0.5428269044413244
1e3	175e3	5	2013	2	2 adults, not a couple, both under pensionable age, no children	2	Owned outright	2	0	0	0	Wants to move	Expect moving	4330.76	35.10646438598633	2	2	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1974	Female	2	5	1	2	1	2	One bill	Some form of central heating	Yes	39	West Midlands	Not London	52.48032955	-2.27086611	206	0.8928550472519883	0.9109931687237106	0.8033246237856045	0.5181181940745468
1e3	175e3	5	2013	2	2 adults, not a couple, both under pensionable age, no children	2	Owned outright	2	0	0	0	Wants to stay	Not expecting to move	4330.76	10	3	3	Monthly savings	In paid employment (full or part-time)	3	Mixed: White and Black Caribbean	1993	Female	2	4	2	2	1	1	One bill	Some form of central heating	Yes	20	West Midlands	Not London	52.48032955	-2.27086611	206	0.8928550472519883	0.9109931687237106	0.8033246237856045	0.5136251215114191
600	285e3	9	2013	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3695.7	1647.270263671875	2	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Female	3	4	4	3	3	2	Separate	No central heating	Yes	45	South West	Not London	51.00126857	-3.13045706	185	0.8706689925595104	0.9279456254950387	0.7961725044563595	0.6414214984092176
600	285e3	9	2013	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	3695.7	100	1	2	No monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Male	3	3	5	2	1	2	Separate	No central heating	Yes	45	South West	Not London	51.00126857	-3.13045706	185	0.8706689925595104	0.9279456254950387	0.7961725044563595	0.5287261103959313
510	265e3	9	2013	1	1 male, aged 65+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	2408	960	2	3	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Male	1	1	1	4	2	2	Separate	No central heating	Yes	69	South West	Not London	51.00126857	-3.13045706	185	0.8650295750673099	0.9251510724428775	0.7796269551223604	0.6080433501851206
1020	16e4	9	2013	4	Couple with 2 children	4	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	3280.29	203.107177734375	3	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1965	Male	2	3	4	3	2	3	Separate	Some form of central heating	Yes	48	South West	Not London	51.00126857	-3.13045706	185	0.8938598696542904	0.90833049147869	0.7911629914121275	0.5432292288513738
1020	16e4	9	2013	4	Couple with 2 children	4	Owned outright	2	1	0	1	Wants to move	Not expecting to move	3280.29	203.107177734375	2	1	Monthly savings	Full-time student	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1996	Female	2	5	5	1	2	4	Separate	Some form of central heating	Yes	17	South West	Not London	51.00126857	-3.13045706	185	0.8938598696542904	0.90833049147869	0.7911629914121275	0.5432292288513738
1300	175e3	9	2013	2	Couple both under pensionable age, no children	3	Owned outright	1	0	0	1	Wants to stay	Not expecting to move	160.833	250	3	2	No monthly savings	Looking after family or home	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	1	5	1	5	4	1	Separate	Some form of central heating	Yes	57	South West	Not London	51.00126857	-3.13045706	185	0.9070795690018284	0.9109931687237106	0.7404042202276673	0.5490777700518805
1080	14e4	9	2013	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to move	Not expecting to move	2785.63	5	4	3	Monthly savings	In paid employment (full or part-time)	3	Any Other Ethnic Group (Other Ethnic Group)	1955	Male	2	1	4	4	2	1	One bill	Some form of central heating	Yes	58	South West	Not London	51.00126857	-3.13045706	185	0.8968228960188255	0.9046163482722873	0.784805390099054	0.5127008460204767
1080	14e4	9	2013	3	Couple with 1 child	3	Owned with mortgage	2	1	0	0	Wants to stay	Not expecting to move	2785.63	0	4	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1965	Female	2	1	5	5	3	1	One bill	Some form of central heating	Yes	48	South West	Not London	51.00126857	-3.13045706	185	0.8968228960188255	0.9046163482722873	0.784805390099054	0.5117662727140687
1500	175e3	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3091.07	203.107177734375	2	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1949	Female	2	2	4	5	3	2	One bill	Some form of central heating	No	64	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9109931687237106	0.7887843131257523	0.5432292288513738
1500	175e3	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3091.07	50	2	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Male	2	1	1	4	3	1	One bill	Some form of central heating	No	69	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9109931687237106	0.7887843131257523	0.5206740901984966
1060	45e4	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	4075.51	203.107177734375	1	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	2	5	3	3	0	4	Separate	Some form of central heating	Yes	71	South West	Not London	51.00126857	-3.13045706	185	0.8958436475283685	0.9475542971197577	0.8005185924896526	0.5432292288513738
1060	45e4	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	4075.51	203.107177734375	1	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	2	5	5	4	3	3	Separate	Some form of central heating	Yes	69	South West	Not London	51.00126857	-3.13045706	185	0.8958436475283685	0.9475542971197577	0.8005185924896526	0.5432292288513738
1236	22e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to move	Not expecting to move	2029.33	500	1	3	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1941	Male	1	5	5	5	0	1	One bill	Some form of central heating	Yes	72	South West	Not London	51.00126857	-3.13045706	185	0.904188632405693	0.9184266468919243	0.7741132617032425	0.5748119059212952
1236	22e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	2029.33	500	1	3	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1945	Female	1	5	4	2	2	2	One bill	Some form of central heating	Yes	68	South West	Not London	51.00126857	-3.13045706	185	0.904188632405693	0.9184266468919243	0.7741132617032425	0.5748119059212952
1e3	14e4	9	2013	2	Couple both under pensionable age, no children	3	Owned outright	2	0	0	0	Wants to move	Not expecting to move	1873.55	500	4	2	Monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Female	1	3	3	3	2	1	One bill	Some form of central heating	Yes	57	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9046163482722873	0.771742072648556	0.5748119059212952
900	145e3	9	2013	2	Couple both under pensionable age, no children	3	Owned outright	2	0	0	0	Wants to move	Not expecting to move	976.536	1	3	1	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1964	Female	2	4	5	3	2	2	One bill	Some form of central heating	Yes	49	South West	Not London	51.00126857	-3.13045706	185	0.8876953830669215	0.9055633740777095	0.7567044824753578	0.5119540222271934
900	145e3	9	2013	2	Couple both under pensionable age, no children	3	Owned outright	2	0	0	0	Wants to stay	Not expecting to move	976.536	1	3	1	Monthly savings	Self employed	2	NA	1969	Male	2	1	4	3	2	2	One bill	Some form of central heating	Yes	44	South West	Not London	51.00126857	-3.13045706	185	0.8876953830669215	0.9055633740777095	0.7567044824753578	0.5119540222271934
1100	15e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	1	0	Wants to move	Not expecting to move	3057.5	0	1	3	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Male	2	5	5	1	1	1	Separate	Some form of central heating	Yes	61	South West	Not London	51.00126857	-3.13045706	185	0.8977939067228682	0.906497856712875	0.7883555924616457	0.5117662727140687
1100	15e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	1	0	Wants to stay	Not expecting to move	3057.5	50	1	3	Monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Female	2	5	5	4	1	1	Separate	Some form of central heating	Yes	61	South West	Not London	51.00126857	-3.13045706	185	0.8977939067228682	0.906497856712875	0.7883555924616457	0.5206740901984966
1320	16e4	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned with mortgage	1	0	2	1	Wants to stay	Not expecting to move	2237.95	0	1	3	No monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Female	2	1	2	4	3	1	Separate	Some form of central heating	Yes	61	South West	Not London	51.00126857	-3.13045706	185	0.9079683368125765	0.90833049147869	0.7771930231467985	0.5117662727140687
680	25e4	9	2013	2	Couple 1 or more over pensionable age,no children	2	Owned outright	0	0	2	2	Wants to move	Not expecting to move	2318.02	1800	2	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1937	Male	1	1	5	3	2	3	One bill	Some form of central heating	Yes	76	South West	Not London	51.00126857	-3.13045706	185	0.8754604832005252	0.9229800349228452	0.7783473548278992	0.6473280502880031
680	25e4	9	2013	2	Couple 1 or more over pensionable age,no children	2	Owned outright	0	0	2	2	Wants to move	Not expecting to move	2318.02	787.23681640625	2	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Female	1	1	5	4	2	4	One bill	Some form of central heating	Yes	66	South West	Not London	51.00126857	-3.13045706	185	0.8754604832005252	0.9229800349228452	0.7783473548278992	0.5970480919139431
1080	3e5	9	2013	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	3014.86	1200	1	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1925	Female	1	5	1	3	2	1	One bill	Some form of central heating	Yes	88	South West	Not London	51.00126857	-3.13045706	185	0.8968228960188255	0.9299712188873211	0.7878080481544785	0.6212608076390306
1200	19e4	9	2013	4	2 adults, not a couple, 1 or more children	5	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	5462.93	0	1	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Female	5	1	5	4	1	1	Separate	Some form of central heating	Yes	20	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9135590037438859	0.8148045627376732	0.5117662727140687
1200	19e4	9	2013	4	2 adults, not a couple, 1 or more children	5	Owned outright	2	1	0	1	Wants to stay	Not expecting to move	5462.93	0	2	3	No monthly savings	Full-time student	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1995	Female	5	5	1	5	1	1	Separate	Some form of central heating	Yes	18	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9135590037438859	0.8148045627376732	0.5117662727140687
1200	26e4	9	2013	1	1 female, age 60+, no children	3	Owned outright	0	0	1	1	Wants to stay	Not expecting to move	1504.12	1800	2	3	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1934	Female	0	5	5	2	3	3	One bill	Some form of central heating	Yes	79	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9244347903656959	0.7658529351261227	0.6473280502880031
475	19e4	9	2013	1	1 male, aged 65+, no children	3	Owned outright	0	0	1	1	Wants to stay	Expect moving	737	500	3	3	No monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1921	Male	1	5	4	3	2	3	Separate	Some form of central heating	Yes	92	South West	Not London	51.00126857	-3.13045706	185	0.8627598407202948	0.9135590037438859	0.7522191070854841	0.5748119059212952
1148	25e4	9	2013	3	Couple with 1 child	4	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	6786.18	600	1	3	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1970	Male	4	1	5	3	4	2	One bill	Some form of central heating	Yes	43	South West	Not London	51.00126857	-3.13045706	185	0.900091537576879	0.9229800349228452	0.8265800337544734	0.5832385946426
1148	25e4	9	2013	3	Couple with 1 child	4	Owned with mortgage	2	0	0	1	Wants to stay	Not expecting to move	6786.18	65	1	3	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1961	Female	4	1	5	4	3	2	One bill	Some form of central heating	Yes	52	South West	Not London	51.00126857	-3.13045706	185	0.900091537576879	0.9229800349228452	0.8265800337544734	0.523171874828638
1200	15e4	9	2013	4	Couple with 2 children	4	Owned with mortgage	1	2	1	1	Wants to stay	Not expecting to move	3065.69	10	3	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1967	Female	3	5	5	4	5	2	One bill	Some form of central heating	Yes	46	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.906497856712875	0.788460376911595	0.5136251215114191
1200	15e4	9	2013	4	Couple with 2 children	4	Owned with mortgage	1	2	1	1	Wants to move	Not expecting to move	3065.69	4500	3	2	No monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1947	Male	3	5	5	4	5	2	One bill	Some form of central heating	Yes	66	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.906497856712875	0.788460376911595	0.7135419493217205
1500	13e4	9	2013	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to move	Not expecting to move	2601.1	0	4	2	No monthly savings	Unemployed	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Male	1	4	3	4	2	1	One bill	Some form of central heating	Yes	57	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9026832877875965	0.782312512291668	0.5117662727140687
1500	13e4	9	2013	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to move	Not expecting to move	2601.1	18	4	3	No monthly savings	In paid employment (full or part-time)	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1960	Female	1	5	1	1	1	1	One bill	Some form of central heating	Yes	53	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9026832877875965	0.782312512291668	0.5150831003820497
1500	13e4	9	2013	4	3 or more adults, 1-2 children, incl. at least one couple	3	Owned outright	2	1	0	1	Wants to move	Not expecting to move	2601.1	203.107177734375	3	3	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1995	Female	1	4	5	4	2	4	One bill	Some form of central heating	Yes	18	South West	Not London	51.00126857	-3.13045706	185	0.9156735367000481	0.9026832877875965	0.782312512291668	0.5432292288513738
700	2e5	9	2013	5	Couple with 3 or more children	3	Owned with mortgage	1	3	0	1	Wants to stay	Not expecting to move	2330.92	20	2	3	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1972	Male	1	5	1	3	2	1	One bill	Some form of central heating	Yes	41	South West	Not London	51.00126857	-3.13045706	185	0.8766279103774544	0.9152191456659423	0.7785319372673988	0.5154436696535554
700	2e5	9	2013	5	Couple with 3 or more children	3	Owned with mortgage	1	3	0	1	Wants to stay	Not expecting to move	2330.92	20	1	3	No monthly savings	Looking after family or home	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1978	Female	1	5	3	2	2	2	One bill	Some form of central heating	Yes	35	South West	Not London	51.00126857	-3.13045706	185	0.8766279103774544	0.9152191456659423	0.7785319372673988	0.5154436696535554
1700	25e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	2809.14	9	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1956	Male	1	5	5	4	2	2	Separate	No central heating	Yes	57	South West	Not London	51.00126857	-3.13045706	185	0.9236717536232922	0.9229800349228452	0.7851180435343745	0.5134410793574997
1700	25e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	2809.14	203.107177734375	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1958	Female	1	5	5	3	2	2	Separate	No central heating	Yes	55	South West	Not London	51.00126857	-3.13045706	185	0.9236717536232922	0.9229800349228452	0.7851180435343745	0.5432292288513738
1700	25e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to move	Not expecting to move	2809.14	203.107177734375	2	1	No monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1986	Female	1	5	5	2	3	3	Separate	No central heating	Yes	27	South West	Not London	51.00126857	-3.13045706	185	0.9236717536232922	0.9229800349228452	0.7851180435343745	0.5432292288513738
1e3	19e4	9	2013	2	1 adult, 1 child	3	Owned with mortgage	1	1	0	0	Wants to stay	Not expecting to move	2546.3	0	3	3	No monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1970	Male	1	1	3	1	1	3	One bill	Some form of central heating	Yes	43	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9135590037438859	0.7815585662074859	0.5117662727140687
1233	175e3	9	2013	3	3 or more adults, no children, incl. at least one couple	2	Owned outright	2	0	2	1	Wants to stay	Not expecting to move	3526.1	200	3	3	No monthly savings	Retired	4	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Female	3	3	3	4	5	3	Separate	Some form of central heating	Yes	70	South West	Not London	51.00126857	-3.13045706	185	0.9040513268728386	0.9109931687237106	0.7941611642859404	0.5428269044413244
1233	175e3	9	2013	3	3 or more adults, no children, incl. at least one couple	2	Owned outright	2	0	2	1	Wants to stay	Not expecting to move	3526.1	0	3	3	No monthly savings	Retired	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1940	Male	3	5	1	5	2	5	Separate	Some form of central heating	Yes	73	South West	Not London	51.00126857	-3.13045706	185	0.9040513268728386	0.9109931687237106	0.7941611642859404	0.5117662727140687
1233	175e3	9	2013	3	3 or more adults, no children, incl. at least one couple	2	Owned outright	2	0	2	1	Wants to stay	Not expecting to move	3526.1	203.107177734375	3	3	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1976	Male	3	4	4	4	1	2	Separate	Some form of central heating	Yes	37	South West	Not London	51.00126857	-3.13045706	185	0.9040513268728386	0.9109931687237106	0.7941611642859404	0.5432292288513738
789	145e3	3	2013	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	4258.08	287	2	3	Monthly savings	Self employed	2	Any Other White Background (White)	1966	Female	1	5	5	4	1	4	One bill	Some form of central heating	Yes	47	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8816843897924416	0.9055633740777095	0.802534591206349	0.5534208654235598
789	145e3	3	2013	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to stay	Not expecting to move	4258.08	235	2	3	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1968	Male	1	4	5	4	2	3	One bill	Some form of central heating	Yes	45	Yorkshire and the Humber	Not London	53.96545143	-1.2294506	269	0.8816843897924416	0.9055633740777095	0.802534591206349	0.547250928483089
1200	3e5	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to stay	Not expecting to move	2064.72	203.107177734375	1	1	No monthly savings	In paid employment (full or part-time)	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1944	Female	2	5	5	5	1	1	One bill	Some form of central heating	Yes	69	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9299712188873211	0.7746432627332708	0.5432292288513738
1200	3e5	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	2	0	2	0	Wants to stay	Not expecting to move	2064.72	203.107177734375	1	1	Monthly savings	In paid employment (full or part-time)	1	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1942	Male	2	5	1	5	2	1	One bill	Some form of central heating	Yes	71	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9299712188873211	0.7746432627332708	0.5432292288513738
1e3	25e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	7150.57	50	2	2	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1934	Male	1	5	4	4	4	1	One bill	Some form of central heating	Yes	79	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9229800349228452	0.8295669362863322	0.5206740901984966
1e3	25e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	7150.57	203.107177734375	2	2	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1938	Female	1	5	5	4	3	2	One bill	Some form of central heating	Yes	75	South West	Not London	51.00126857	-3.13045706	185	0.8928550472519883	0.9229800349228452	0.8295669362863322	0.5432292288513738
1716	375e3	9	2013	3	1 adult, 2 or more children	3	Owned outright	1	2	0	0	Wants to move	Not expecting to move	1416.44	1647.270263671875	2	2	No monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1971	Female	1	1	5	5	3	2	One bill	Some form of central heating	Yes	42	South West	Not London	51.00126857	-3.13045706	185	0.9242882961785458	0.9393090779112864	0.764396144655767	0.6414214984092176
1200	45e4	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3266.67	0	1	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1943	Male	2	4	5	3	4	2	One bill	Some form of central heating	Yes	70	South West	Not London	51.00126857	-3.13045706	185	0.9025300868744667	0.9475542971197577	0.7909938797094739	0.5117662727140687
1248	35e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3617.67	500	1	3	Monthly savings	Retired	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1928	Female	1	4	2	3	4	1	Separate	Some form of central heating	Yes	85	South West	Not London	51.00126857	-3.13045706	185	0.9047362270382974	0.9363316907606686	0.7952527577297982	0.5748119059212952
1248	35e4	9	2013	2	Couple 1 or more over pensionable age,no children	3	Owned outright	0	0	2	2	Wants to stay	Not expecting to move	3617.67	1e4	1	3	Monthly savings	Retired	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1924	Male	1	5	5	4	2	1	Separate	Some form of central heating	Yes	89	South West	Not London	51.00126857	-3.13045706	185	0.9047362270382974	0.9363316907606686	0.7952527577297982	0.776253743444241
1944	65e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	4918	0	2	3	Monthly savings	Self employed	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1964	Female	4	5	2	3	3	1	Separate	Some form of central heating	Yes	49	South West	Not London	51.00126857	-3.13045706	185	0.9327339514811447	0.9657451962885806	0.8094633071374506	0.5117662727140687
1944	65e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to stay	Not expecting to move	4918	0	2	3	No monthly savings	Self employed	5	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1952	Male	4	5	3	4	1	1	Separate	Some form of central heating	Yes	61	South West	Not London	51.00126857	-3.13045706	185	0.9327339514811447	0.9657451962885806	0.8094633071374506	0.5117662727140687
1944	65e4	9	2013	3	3 or more adults, no children, incl. at least one couple	4	Owned with mortgage	3	0	0	0	Wants to move	Not expecting to move	4918	0	2	1	Monthly savings	In paid employment (full or part-time)	2	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1993	Female	4	1	1	3	1	1	Separate	Some form of central heating	Yes	20	South West	Not London	51.00126857	-3.13045706	185	0.9327339514811447	0.9657451962885806	0.8094633071374506	0.5117662727140687
3240	35e4	9	2013	2	Couple 1 or more over pensionable age,no children	4	Owned outright	0	0	2	2	Wants to move	Expect moving	2446.86	203.107177734375	2	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1938	Female	1	5	1	2	2	5	Separate	Some form of central heating	Yes	75	South West	Not London	51.00126857	-3.13045706	185	0.9716589559473402	0.9363316907606686	0.7801739491515373	0.5432292288513738
310	175e3	9	2013	1	1 male, aged 65+, no children	3	Owned with mortgage	0	0	1	1	Wants to move	Not expecting to move	984.333	60	3	3	Monthly savings	Retired	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1941	Male	0	5	4	5	2	5	Separate	Some form of central heating	Yes	72	South West	Not London	51.00126857	-3.13045706	185	0.8514139820449597	0.9109931687237106	0.7568467557341189	0.5223475164656475
200	9e4	6	2013	2	1 adult, 1 child	2	Owned outright	0	1	0	1	Wants to move	Expect moving	732.25	6	3	2	No monthly savings	Looking after family or home	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1970	Female	1	5	5	4	4	1	One bill	Some form of central heating	No	43	East of England	Not London	52.25103801	0.53921918	193	0.8431789502448496	0.8943734549426287	0.7521278385220918	0.5128865176538364
750	17e4	6	2013	2	Couple both under pensionable age, no children	3	Owned with mortgage	2	0	0	0	Wants to move	Expect moving	4679.98	0	3	1	Monthly savings	Self employed	3	British/English/Scottish/Welsh/Northern Irish/White British/White Scottish (White)	1980	Male	2	5	1	2	4	1	One bill	Some form of central heating	Yes	33	East of England	Not London	52.25103801	0.53921918	193	0.8794958432861221	0.9101167274824922	0.8070259175095259	0.5117662727140687
